Sentence,Word,POS,Tag
202,Account,NOUN,O
,number,NOUN,O
,10824206,NUM,ANU-U
,Sort,NOUN,O
,code,NOUN,O
,05,NUM,SC-U
,-,PUNCT,SC-U
,03,NUM,SC-U
,-,PUNCT,SC-U
,03,NUM,SC-U
,Statement,PROPN,O
,date,NOUN,O
,01,NUM,FD-B
,May,PROPN,FD-I
,20,NUM,FD-L
,-,SYM,O
,31,NUM,TD-B
,May,PROPN,TD-I
,20,NUM,TD-L
,STANDARD,PROPN,AT-B
,BUSINESS,PROPN,AT-L
,BRADFORD,PROPN,AN-B
203,BAZAAR,PROPN,AN-I
,LIMITED,VERB,AN-L
,36,NUM,AA-B
,CEMETERY,NOUN,AA-I
,ROAD,NOUN,AA-I
,",",PUNCT,AA-I
,BRADFORD,PROPN,AA-I
,",",PUNCT,AA-I
,BD8,PROPN,AA-I
,9RY,PROPN,AA-L
,Date,PROPN,O
,Description,PROPN,O
,Type,NOUN,O
,Debits,VERB,O
,Credits,NOUN,O
,Balance,NOUN,O
,01,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Opening,NOUN,PDE-B
204,Balance,NOUN,PDE-L
,£,PROPN,B-U
,122986.58,NUM,B-U
,01,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Tv,PROPN,PDE-B
,Licence,PROPN,PDE-I
,Mbp,PROPN,PDE-I
,",",PUNCT,PDE-I
,3761329707,NUM,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,13.20,NUM,PO-U
,£,SYM,B-U
,122973.38,NUM,B-U
,01,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Sippdeal,PROPN,PDE-B
,Trustees,PROPN,PDE-I
,",",PUNCT,PDE-I
205,15978766/1,X,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,500.00,NUM,PO-U
,£,PROPN,B-U
,122473.38,NUM,B-U
,01,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
206,Beata,PROPN,PDE-I
,Malinowska,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,SYM,PO-U
,105.08,NUM,PO-U
,£,PROPN,B-U
,122368.30,NUM,B-U
,01,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,NOUN,PDE-B
,",",PUNCT,PDE-B
,Debbie,PROPN,PDE-I
,Lister,PROPN,PDE-I
,",",PUNCT,PDE-I
,Wages,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,163.70,NUM,PO-U
,£,PROPN,B-U
,122204.60,NUM,B-U
,01,NUM,PDA-B
,May,PROPN,PDA-I
207,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Samreen,PROPN,PDE-I
,Shahzadi,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,157.20,NUM,PO-U
,£,SYM,B-U
,122047.40,NUM,B-U
,04,NUM,PDA-B
208,May,VERB,PDA-I
,20,NUM,PDA-L
,I,PRON,PDE-B
,K,PROPN,PDE-I
,Associates,PROPN,PDE-I
,Uk,PROPN,PDE-I
,",",PUNCT,PDE-I
,INVOICE,PROPN,PDE-I
,Standing,VERB,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,100.00,NUM,PO-U
,£,PROPN,B-U
,121947.40,NUM,B-U
,04,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Anita,PROPN,PDE-B
,Kaur,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-I
,Standing,VERB,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,117.00,NUM,PO-U
,£,PROPN,B-U
,121830.40,NUM,B-U
,04,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Jasvinder,PROPN,PDE-B
,Pal,PROPN,PDE-I
,Sing,PROPN,PDE-I
,",",PUNCT,PDE-I
209,DIRECTORS,VERB,PDE-I
,PERSONAL,ADJ,PDE-I
,Standing,PROPN,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,1000.00,NUM,PO-U
,£,PROPN,B-U
,120830.40,NUM,B-U
,05,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Intuit,PROPN,PDE-B
,Limited,PROPN,PDE-I
,",",PUNCT,PDE-I
,002HWFS16000A00RT,PUNCT,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,9.60,NUM,PO-U
,£,SYM,B-U
,120820.80,NUM,B-U
,11,NUM,PDA-B
,May,PROPN,PDA-I
210,20,NUM,PDA-L
,I,PRON,PDE-B
,K,PROPN,PDE-I
,Associates,PROPN,PDE-I
,Uk,PROPN,PDE-I
,",",PUNCT,PDE-I
,INVOICE,PROPN,PDE-I
,Standing,VERB,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,100.00,NUM,PO-U
,£,PROPN,B-U
,120720.80,NUM,B-U
,11,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Anita,PROPN,PDE-B
,Kaur,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-I
,Standing,VERB,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,117.00,NUM,PO-U
,£,PROPN,B-U
,120603.80,NUM,B-U
,11,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Jasvinder,PROPN,PDE-B
,Pal,PROPN,PDE-I
,Sing,PROPN,PDE-I
,",",PUNCT,PDE-I
,DIRECTORS,NOUN,PDE-I
211,PERSONAL,ADJ,PDE-I
,Standing,PROPN,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,1000.00,NUM,PO-U
,£,SYM,B-U
,119603.80,NUM,B-U
,11,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,NOUN,PDE-B
,",",PUNCT,PDE-B
212,Beata,PROPN,PDE-I
,Malinowska,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,SYM,PO-U
,105.08,NUM,PO-U
,£,SYM,B-U
,119498.72,NUM,B-U
,11,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,NOUN,PDE-B
,",",PUNCT,PDE-B
,Debbie,PROPN,PDE-I
,Lister,PROPN,PDE-I
,",",PUNCT,PDE-I
,Wages,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,163.70,NUM,PO-U
,£,PROPN,B-U
,119335.02,NUM,B-U
,11,NUM,PDA-B
,May,PROPN,PDA-I
213,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,M,PROPN,PDE-I
,Akram,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,211.92,NUM,PO-U
,£,PROPN,B-U
,119123.10,NUM,B-U
,11,NUM,PDA-B
214,May,VERB,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Mr,PROPN,PDE-I
,Khurram,PROPN,PDE-I
,Khan,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,262.53,NUM,PO-U
,£,PROPN,B-U
,118860.57,NUM,B-U
,11,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Samreen,PROPN,PDE-I
,Shahzadi,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,157.20,NUM,PO-U
,£,PROPN,B-U
,118703.37,NUM,B-U
,15,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Beata,PROPN,PDE-I
,Malinowska,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,SYM,PO-U
,105.08,NUM,PO-U
,£,SYM,B-U
,118598.29,NUM,B-U
,15,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,NOUN,PDE-B
,",",PUNCT,PDE-B
,Debbie,PROPN,PDE-I
,Lister,PROPN,PDE-I
,",",PUNCT,PDE-I
215,Wags,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,163.70,NUM,PO-U
,£,SYM,B-U
,118434.59,NUM,B-U
,15,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,M,PROPN,PDE-I
216,Akram,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,211.92,NUM,PO-U
,£,PROPN,B-U
,118222.67,NUM,B-U
,15,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,NOUN,PDE-B
,",",PUNCT,PDE-B
217,Mr,PROPN,PDE-I
,Khurram,PROPN,PDE-I
,Khan,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,262.53,NUM,PO-U
,£,PROPN,B-U
,117960.14,NUM,B-U
,15,NUM,PDA-B
,May,PROPN,PDA-I
218,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Samreen,PROPN,PDE-I
,Shahzadi,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,157.20,NUM,PO-U
,£,PROPN,B-U
,117802.94,NUM,B-U
,18,NUM,PDA-B
219,May,VERB,PDA-I
,20,NUM,PDA-L
,Scottish,PROPN,PDE-B
,Equitable,PROPN,PDE-I
,",",PUNCT,PDE-I
,96893214,NUM,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,55.83,NUM,PO-U
,£,PROPN,B-U
,117747.11,NUM,B-U
,18,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,I,PRON,PDE-B
,K,PROPN,PDE-I
,Associates,PROPN,PDE-I
,Uk,PROPN,PDE-I
,",",PUNCT,PDE-I
,INVOICE,PROPN,PDE-I
,Standing,VERB,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,100.00,NUM,PO-U
,£,PROPN,B-U
,117647.11,NUM,B-U
,18,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Anita,PROPN,PDE-B
,Kaur,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-I
220,Standing,VERB,PDE-L
,Order,NOUN,PT-U
,£,PROPN,PO-U
,117.00,NUM,PO-U
,£,PROPN,B-U
,117530.11,NUM,B-U
,18,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Jasvinder,PROPN,PDE-B
,Pal,PROPN,PDE-I
221,Sing,VERB,PDE-I
,",",PUNCT,PDE-I
,DIRECTORS,VERB,PDE-I
,PERSONAL,ADJ,PDE-I
,Standing,NOUN,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,1000.00,NUM,PO-U
,£,SYM,B-U
,116530.11,NUM,B-U
,19,NUM,PDA-B
,May,PROPN,PDA-I
222,20,NUM,PDA-L
,MOB,PROPN,PDE-B
,",",PUNCT,PDE-B
,Umar,PROPN,PDE-I
,Ali,PROPN,PDE-I
,",",PUNCT,PDE-I
,Umar,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,110.00,NUM,PO-U
,£,PROPN,B-U
,116420.11,NUM,B-U
,22,NUM,PDA-B
223,May,VERB,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Beata,PROPN,PDE-I
,Malinowska,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,SYM,PO-U
,105.08,NUM,PO-U
,£,PROPN,B-U
,116315.03,NUM,B-U
,22,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,NOUN,PDE-B
,",",PUNCT,PDE-B
,Debbie,PROPN,PDE-I
,Lister,PROPN,PDE-I
,",",PUNCT,PDE-I
,Wages,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,163.70,NUM,PO-U
,£,PROPN,B-U
,116151.33,NUM,B-U
,22,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,M,PROPN,PDE-I
,Akram,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,211.92,NUM,PO-U
,£,PROPN,B-U
,115939.41,NUM,B-U
,22,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Mr,PROPN,PDE-I
,Khurram,PROPN,PDE-I
,Khan,PROPN,PDE-I
,",",PUNCT,PDE-I
224,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,262.53,NUM,PO-U
,£,PROPN,B-U
,115676.88,NUM,B-U
,22,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Samreen,PROPN,PDE-I
225,Shahzadi,NOUN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,157.20,NUM,PO-U
,£,PROPN,B-U
,115519.68,NUM,B-U
,26,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,I,PRON,PDE-B
226,K,PROPN,PDE-I
,Associates,PROPN,PDE-I
,Uk,PROPN,PDE-I
,",",PUNCT,PDE-I
,INVOICE,PROPN,PDE-I
,Standing,VERB,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,100.00,NUM,PO-U
,£,PROPN,B-U
,115419.68,NUM,B-U
,26,NUM,PDA-B
227,May,VERB,PDA-I
,20,NUM,PDA-L
,Anita,PROPN,PDE-B
,Kaur,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-I
,Standing,VERB,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,117.00,NUM,PO-U
,£,PROPN,B-U
,115302.68,NUM,B-U
,26,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Kinex,PROPN,PDE-B
,",",PUNCT,PDE-B
,949011,NUM,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,136.73,NUM,PO-U
,£,PROPN,B-U
,115165.95,NUM,B-U
,26,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Jasvinder,PROPN,PDE-B
,Pal,PROPN,PDE-I
,Sing,PROPN,PDE-I
,",",PUNCT,PDE-I
,DIRECTORS,VERB,PDE-I
,PERSONAL,ADJ,PDE-I
,Standing,NOUN,PDE-L
,Order,PROPN,PT-U
,£,PROPN,PO-U
,1000.00,NUM,PO-U
,£,PROPN,B-U
,114165.95,NUM,B-U
,26,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,MOB,PROPN,PDE-B
,",",PUNCT,PDE-B
,Funterior,PROPN,PDE-I
,",",PUNCT,PDE-I
,Aslam,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,2000.00,NUM,PO-U
,£,SYM,B-U
,112165.95,NUM,B-U
,27,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,HMRC,PROPN,PDE-B
,JRS,PROPN,PDE-I
,GRANT,PROPN,PDE-L
,Giro,PROPN,PT-U
,£,PROPN,PI-U
,2160.57,NUM,PI-U
,£,SYM,B-U
,114326.52,NUM,B-U
,27,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BRANCH,PROPN,PDE-U
,Transfer,PROPN,PT-U
,£,PROPN,PI-U
,50000.00,NUM,PI-U
,£,SYM,B-U
,164326.52,NUM,B-U
,28,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,CHARGES,PROPN,PDE-U
,Charges,NOUN,PT-U
,£,PROPN,PO-U
,22.00,NUM,PO-U
,£,SYM,B-U
,164304.52,NUM,B-U
,29,NUM,PDA-B
228,May,VERB,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Bharat,PROPN,PDE-I
,Restaurant,PROPN,PDE-I
,Bar,PROPN,PDE-I
,&,CCONJ,PDE-I
,Grill,PROPN,PDE-I
,Ltd,PROPN,PDE-I
,",",PUNCT,PDE-I
229,MB,PROPN,PDE-I
,Funterior,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PI-U
,2000.00,NUM,PI-U
,£,SYM,B-U
,166304.52,NUM,B-U
,29,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,Business,NOUN,PDE-B
230,Stream,NOUN,PDE-I
,",",PUNCT,PDE-I
,9010404801,NUM,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,560.52,NUM,PO-U
,£,PROPN,B-U
,165744.00,NUM,B-U
,29,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Beata,PROPN,PDE-I
,Malinowska,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,SYM,PO-U
,105.08,NUM,PO-U
,£,PROPN,B-U
,165638.92,NUM,B-U
,29,NUM,PDA-B
,May,PROPN,PDA-I
231,20,NUM,PDA-L
,BOL,NOUN,PDE-B
,",",PUNCT,PDE-B
,Debbie,PROPN,PDE-I
,Lister,PROPN,PDE-I
,",",PUNCT,PDE-I
,Wages,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,163.70,NUM,PO-U
,£,PROPN,B-U
,165475.22,NUM,B-U
,29,NUM,PDA-B
232,May,VERB,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Miss,PROPN,PDE-I
,S,PROPN,PDE-I
,K,PROPN,PDE-I
,Zainab,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,1343.04,NUM,PO-U
,£,SYM,B-U
,164132.18,NUM,B-U
,29,NUM,PDA-B
,May,PROPN,PDA-I
,20,NUM,PDA-L
,BOL,PROPN,PDE-B
,",",PUNCT,PDE-B
,Samreen,PROPN,PDE-I
,Shahzadi,PROPN,PDE-I
,",",PUNCT,PDE-I
,WAGES,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PO-U
,157.20,NUM,PO-U
,£,PROPN,B-U
,163974.98,NUM,B-U
,Total,ADJ,O
,debits,NOUN,O
,£,SYM,POW-U
,13172.17,NUM,POW-U
,Total,ADJ,O
,credits,NOUN,O
,£,SYM,PID-U
,54160.57,NUM,PID-U
,Closing,NOUN,O
,balance,NOUN,O
,£,SYM,CB-U
,163974.98,NUM,CB-U
,Important,ADJ,O
,information,NOUN,O
,about,ADP,O
,compensation,NOUN,O
,arrangements,NOUN,O
,We,PRON,O
,are,AUX,O
,covered,VERB,O
,by,ADP,O
,the,DET,O
,Financial,PROPN,O
,Services,PROPN,O
,Compensation,PROPN,O
,Scheme,PROPN,O
,(,PUNCT,O
,FSCS,PROPN,O
,),PUNCT,O
,.,PUNCT,O
233,The,DET,O
,FSCS,PROPN,O
,can,VERB,O
,pay,VERB,O
,compensation,NOUN,O
,to,ADP,O
,depositors,NOUN,O
,if,SCONJ,O
,a,DET,O
,bank,NOUN,O
,is,AUX,O
,unable,ADJ,O
,to,PART,O
,meet,VERB,O
,its,DET,O
,financial,ADJ,O
,obligations,NOUN,O
,.,PUNCT,O
234,Your,DET,O
,deposit,NOUN,O
,is,AUX,O
,covered,VERB,O
,by,ADP,O
,the,DET,O
,scheme,NOUN,O
,.,PUNCT,O
235,Details,NOUN,O
,on,ADP,O
,the,DET,O
,protection,NOUN,O
,of,ADP,O
,eligible,ADJ,O
,deposits,NOUN,O
,can,VERB,O
,be,AUX,O
,found,VERB,O
,in,ADP,O
,the,DET,O
,information,NOUN,O
,sheet,NOUN,O
,and,CCONJ,O
,deposits,NOUN,O
,excluded,VERB,O
,from,ADP,O
,the,DET,O
,scheme,NOUN,O
,can,VERB,O
,be,AUX,O
,found,VERB,O
,in,ADP,O
,the,DET,O
,exclusion,NOUN,O
,list,NOUN,O
,which,DET,O
,can,VERB,O
,be,AUX,O
,obtained,VERB,O
,from,ADP,O
,your,DET,O
,local,ADJ,O
,branch,NOUN,O
,.,PUNCT,O
236,For,ADP,O
,further,ADJ,O
,information,NOUN,O
,about,ADP,O
,the,DET,O
,compensation,NOUN,O
,provided,VERB,O
,by,ADP,O
,the,DET,O
,FSCS,PROPN,O
,",",PUNCT,O
,refer,VERB,O
,to,ADP,O
,the,DET,O
,FSCS,PROPN,O
,website,NOUN,O
,at,ADP,O
,www,NOUN,O
,.,PUNCT,O
,FSCS.org.uk,X,O
,.,PUNCT,O
237,Interest,NOUN,O
,rate,NOUN,O
,information,NOUN,O
,Arranged,VERB,O
,Overdraft,PROPN,O
,interest,NOUN,O
,rates,NOUN,O
,apply,VERB,O
,to,ADP,O
,the,DET,O
,amount,NOUN,O
,of,ADP,O
,any,DET,O
,borrowing,NOUN,O
,",",PUNCT,O
,up,ADP,O
,to,ADP,O
,your,DET,O
,Arranged,PROPN,O
,Overdraft,PROPN,O
,limit,NOUN,O
,.,PUNCT,O
238,Unarranged,PROPN,O
,Overdraft,PROPN,O
,interest,NOUN,O
,rates,NOUN,O
,apply,VERB,O
,to,ADP,O
,any,DET,O
,borrowing,NOUN,O
,which,DET,O
,is,AUX,O
,the,DET,O
,result,NOUN,O
,of,ADP,O
,our,DET,O
,agreeing,VERB,O
,to,ADP,O
,a,DET,O
,request,NOUN,O
,from,ADP,O
,you,PRON,O
,for,ADP,O
,a,DET,O
,temporary,ADJ,O
,Unarranged,PROPN,O
,Overdraft,PROPN,O
,or,CCONJ,O
,temporary,ADJ,O
,increase,NOUN,O
,to,ADP,O
,an,DET,O
,existing,VERB,O
,Arranged,PROPN,O
,Overdraft,PROPN,O
,to,PART,O
,cover,VERB,O
,a,DET,O
,payment,NOUN,O
,despite,SCONJ,O
,lack,NOUN,O
,of,ADP,O
,funds,NOUN,O
,.,PUNCT,O
239,Interest,NOUN,O
,rates,NOUN,O
,applicable,ADJ,O
,during,ADP,O
,the,DET,O
,statement,NOUN,O
,period,NOUN,O
,are,AUX,O
,available,ADJ,O
,on,ADP,O
,request,NOUN,O
,",",PUNCT,O
,please,INTJ,O
,call,VERB,O
,the,DET,O
,team,NOUN,O
,at,ADP,O
,Yorkshire,PROPN,O
,Bank,PROPN,O
,on,ADP,O
,<,X,O
,strong>0800,PROPN,O
,456,NUM,O
,1247,NUM,O
,<,X,O
,/strong,PROPN,O
,>,PUNCT,O
,or,CCONJ,O
,<,X,O
,strong>+44,PROPN,O
,141,NUM,O
,951,NUM,O
,7315,NUM,O
,<,X,O
,/strong,PUNCT,O
,>,X,O
,.,PUNCT,O
240,Dispute,NOUN,O
,resolution,NOUN,O
,If,SCONJ,O
,you,PRON,O
,have,AUX,O
,a,DET,O
,complaint,NOUN,O
,",",PUNCT,O
,please,INTJ,O
,talk,VERB,O
,to,ADP,O
,us,PRON,O
,first,ADV,O
,so,SCONJ,O
,that,SCONJ,O
,we,PRON,O
,can,VERB,O
,try,VERB,O
,to,PART,O
,resolve,VERB,O
,it,PRON,O
,.,PUNCT,O
241,If,SCONJ,O
,you,PRON,O
,are,AUX,O
,not,PART,O
,happy,ADJ,O
,with,ADP,O
,the,DET,O
,way,NOUN,O
,we,PRON,O
,handled,VERB,O
,your,DET,O
,complaint,NOUN,O
,or,CCONJ,O
,the,DET,O
,result,NOUN,O
,",",PUNCT,O
,you,PRON,O
,can,VERB,O
,then,ADV,O
,refer,VERB,O
,the,DET,O
,matter,NOUN,O
,to,ADP,O
,the,DET,O
,Financial,PROPN,O
,Ombudsman,PROPN,O
,Service,PROPN,O
,.,PUNCT,O
242,The,DET,O
,Financial,PROPN,O
,Ombudsman,PROPN,O
,Service,PROPN,O
,is,AUX,O
,an,DET,O
,independent,ADJ,O
,organisation,NOUN,O
,that,DET,O
,helps,VERB,O
,resolve,VERB,O
,complaints,NOUN,O
,that,SCONJ,O
,customers,NOUN,O
,and,CCONJ,O
,financial,ADJ,O
,institutions,NOUN,O
,have,AUX,O
,n't,PART,O
,been,AUX,O
,able,ADJ,O
,to,PART,O
,solve,VERB,O
,themselves,PRON,O
,.,PUNCT,O
243,Account,NOUN,O
,number,NOUN,O
,41649294,NUM,ANU-U
,Sort,NOUN,O
,code,NOUN,O
,05,NUM,SC-U
,-,PUNCT,SC-U
,06,NUM,SC-U
,-,PUNCT,SC-U
,43,NUM,SC-U
,Statement,PROPN,O
,date,NOUN,O
,01,NUM,FD-B
,Sep,PROPN,FD-I
,20,NUM,FD-L
,-,SYM,O
,08,NUM,TD-B
,Sep,PROPN,TD-I
,20,NUM,TD-L
,STANDARD,PROPN,AN-B
,BUSINESS,PROPN,AN-L
,ARCH,NOUN,AA-B
244,GLOBAL,PROPN,AA-I
,UK,PROPN,AA-I
,LIMITED,VERB,AA-I
,23,NUM,AA-I
,DRAGOON,PROPN,AA-I
,ROAD,PROPN,AA-I
,",",PUNCT,AA-I
,COVENTRY,PROPN,AA-I
,",",PUNCT,AA-I
,CV3,PROPN,AA-I
,1PD,NUM,AA-L
,Date,PROPN,O
,Description,PROPN,O
,Type,PROPN,O
,Debits,VERB,O
,Credits,NOUN,O
,Balance,NOUN,O
,01,NUM,FD-B
,Sep,PROPN,FD-I
,20,NUM,FD-L
,Opening,PROPN,O
,Balance,PROPN,O
,£,PROPN,OB-U
,1841.35,NUM,OB-U
,01,NUM,FD-B
,Sep,PROPN,FD-I
,20,NUM,FD-L
,FPS,PROPN,PT-U
,",",PUNCT,O
,Roofoods,PROPN,PDE-B
245,Limited,PROPN,PDE-I
,Transfer,PROPN,PDE-L
,£,PROPN,PI-U
,3.81,NUM,PI-U
,£,PROPN,B-U
,1845.16,NUM,B-U
,01,NUM,FD-B
,Sep,PROPN,FD-I
,20,NUM,FD-L
,FPS,PROPN,PT-U
,",",PUNCT,O
,Roofoods,PROPN,PDE-B
,Limited,PROPN,PDE-I
,Transfer,PROPN,PDE-L
,£,PROPN,PI-U
,31.14,NUM,PI-U
,£,SYM,B-U
,1876.30,NUM,B-U
,01,NUM,FD-B
,Sep,PROPN,FD-I
,20,NUM,FD-L
,FPS,PROPN,PT-U
,",",PUNCT,O
,Roofoods,PROPN,PDE-B
,Limited,PROPN,PDE-I
